city,local_time,weather,temperature,temperature_f,temperature_c
Accra,Wed 12:23 am,Mostly cloudy. Warm.,77 °F,77,25.0
Addis Ababa,Wed 3:23 am,Passing clouds. Cool.,59 °F,59,15.0
Adelaide,Wed 9:53 am,Quite cool.,55 °F,55,12.8
Algiers,Wed 1:23 am,Passing clouds. Warm.,81 °F,81,27.2
Almaty,Wed 5:23 am,Clear. Refreshingly cool.,57 °F,57,13.9
Amman,Wed 3:23 am,Clear. Mild.,72 °F,72,22.2
Amsterdam,Wed 2:23 am,Passing clouds. Cool.,59 °F,59,15.0
Anadyr,Wed 12:23 pm,Passing clouds. Cool.,46 °F,46,7.8
Anchorage,Tue 4:23 pm,Overcast. Cool.,55 °F,55,12.8
Ankara,Wed 3:23 am,Clear. Cool.,52 °F,52,11.1
Antananarivo,Wed 3:23 am,Passing clouds. Cool.,57 °F,57,13.9
Asuncion,Tue 9:23 pm,Passing clouds. Mild.,68 °F,68,20.0
Athens,Wed 3:23 am,Mild.,73 °F,73,22.8
Atlanta,Tue 8:23 pm,Sunny. Warm.,85 °F,85,29.4
Auckland,Wed 12:23 pm,Clear. Cool.,59 °F,59,15.0
Baghdad,Wed 3:23 am,Clear. Pleasantly warm.,85 °F,85,29.4
Bangkok,Wed 7:23 am,Passing clouds. Warm.,81 °F,81,27.2
Barcelona,Wed 2:23 am,Passing clouds. Warm.,81 °F,81,27.2
Beijing,Wed 8:23 am,Passing clouds. Mild.,66 °F,66,18.9
Beirut,Wed 3:23 am,Passing clouds. Mild.,75 °F,75,23.9
Belgrade,Wed 2:23 am,Clear. Mild.,68 °F,68,20.0
Bengaluru,Wed 5:53 am,Passing clouds. Mild.,72 °F,72,22.2
Berlin,Wed 2:23 am,Clear. Mild.,70 °F,70,21.1
Bogota,Tue 7:23 pm,Passing clouds. Cool.,61 °F,61,16.1
Boston,Tue 8:23 pm,Passing clouds. Mild.,67 °F,67,19.4
Brasilia,Tue 9:23 pm,Clear. Mild.,72 °F,72,22.2
Brisbane,Wed 10:23 am,Cool.,66 °F,66,18.9
Brussels,Wed 2:23 am,Passing clouds. Cool.,55 °F,55,12.8
Bucharest,Wed 3:23 am,Clear. Cool.,61 °F,61,16.1
Budapest,Wed 2:23 am,Clear. Mild.,63 °F,63,17.2
Buenos Aires,Tue 9:23 pm,Passing clouds. Cool.,59 °F,59,15.0
Cairo,Wed 3:23 am,Clear. Warm.,81 °F,81,27.2
Calgary,Tue 6:23 pm,Partly sunny. Mild.,68 °F,68,20.0
Canberra,Wed 10:23 am,Sunny. Cool.,50 °F,50,10.0
Cape Town,Wed 2:23 am,Fog. Cool.,57 °F,57,13.9
Caracas,Tue 8:23 pm,Passing clouds. Warm.,82 °F,82,27.8
Casablanca,Wed 1:23 am,Mild.,75 °F,75,23.9
Chicago,Tue 7:23 pm,Scattered clouds. Warm.,83 °F,83,28.3
Copenhagen,Wed 2:23 am,Light rain. Overcast. Cool.,59 °F,59,15.0
Dallas,Tue 7:23 pm,Broken clouds. Extremely hot.,99 °F,99,37.2
Dar es Salaam,Wed 3:23 am,Passing clouds. Mild.,72 °F,72,22.2
Darwin,Wed 9:53 am,Sunny. Warm.,84 °F,84,28.9
Denver,Tue 6:23 pm,Broken clouds. Mild.,72 °F,72,22.2
Detroit,Tue 8:23 pm,Sunny. Mild.,76 °F,76,24.4
Dhaka,Wed 6:23 am,Low clouds. Warm.,82 °F,82,27.8
Doha,Wed 3:23 am,Clear. Extremely hot.,99 °F,99,37.2
Dubai,Wed 4:23 am,Clear. Extremely hot.,93 °F,93,33.9
Dublin,Wed 1:23 am,Passing clouds. Cool.,52 °F,52,11.1
Edmonton,Tue 6:23 pm,Broken clouds. Mild.,66 °F,66,18.9
Frankfurt,Wed 2:23 am,Clear. Mild.,72 °F,72,22.2
Guatemala City,Tue 6:23 pm,Thunderstorms. Scattered clouds. Mild.,68 °F,68,20.0
Halifax,Tue 9:23 pm,Mostly cloudy. Cool.,52 °F,52,11.1
Hanoi,Wed 7:23 am,Fog. Warm.,82 °F,82,27.8
Harare,Wed 2:23 am,Passing clouds. Cool.,57 °F,57,13.9
Havana,Tue 8:23 pm,Partly sunny. Mild.,73 °F,73,22.8
