city,local_time,weather,temperature
Accra,Wed 12:23 am,Mostly cloudy. Warm.,77 °F
Dublin *,Wed 1:23 am,Passing clouds. Cool.,52 °F
Nairobi,Wed 3:23 am,Clear. Cool.,55 °F
Addis Ababa,Wed 3:23 am,Passing clouds. Cool.,59 °F
Edmonton *,Tue 6:23 pm,Broken clouds. Mild.,66 °F
Nassau *,Tue 8:23 pm,Passing clouds. Warm.,84 °F
Adelaide,Wed 9:53 am,Quite cool.,55 °F
Frankfurt *,Wed 2:23 am,Clear. Mild.,72 °F
New Delhi,Wed 5:53 am,Fog. Warm.,83 °F
Algiers,Wed 1:23 am,Passing clouds. Warm.,81 °F
Guatemala City,Tue 6:23 pm,Thunderstorms. Scattered clouds. Mild.,68 °F
New Orleans *,Tue 7:23 pm,Passing clouds. Warm.,86 °F
Almaty,Wed 5:23 am,Clear. Refreshingly cool.,57 °F
Halifax *,Tue 9:23 pm,Mostly cloudy. Cool.,52 °F
New York *,Tue 8:23 pm,Clear. Mild.,74 °F
Amman,Wed 3:23 am,Clear. Mild.,72 °F
Hanoi,Wed 7:23 am,Fog. Warm.,82 °F
Oslo *,Wed 2:23 am,Passing clouds. Cool.,52 °F
Amsterdam *,Wed 2:23 am,Passing clouds. Cool.,59 °F
Harare,Wed 2:23 am,Passing clouds. Cool.,57 °F
Ottawa *,Tue 8:23 pm,Passing clouds. Mild.,63 °F
Anadyr,Wed 12:23 pm,Passing clouds. Cool.,46 °F
Havana *,Tue 8:23 pm,Partly sunny. Mild.,73 °F
Paris *,Wed 2:23 am,Partly cloudy. Cool.,55 °F
Anchorage *,Tue 4:23 pm,Overcast. Cool.,55 °F
Helsinki *,Wed 3:23 am,Passing clouds. Cool.,59 °F
Perth,Wed 8:23 am,Passing clouds. Cool.,55 °F
Ankara,Wed 3:23 am,Clear. Cool.,52 °F
Hong Kong,Wed 8:23 am,Passing clouds. Warm.,84 °F
Philadelphia *,Tue 8:23 pm,Partly cloudy. Warm.,80 °F
Antananarivo,Wed 3:23 am,Passing clouds. Cool.,57 °F
